Event Name,Lat,Lon,Depth,Station,Phase,mean arrival time,std dev arrival time
12 LM,-3.94,-21.2,0.0,Apollo 12,P,42.3,0.141421356237307
12 LM,-3.94,-21.2,0.0,Apollo 12,S,56.29,0.0
12 LM,-3.94,-21.2,0.0,Apollo 12,S-P,13.89,
13 S-IVB,-2.75,-27.86,0.0,Apollo 12,P,68.8,0.461880215351699
13 S-IVB,-2.75,-27.86,0.0,Apollo 12,S,89.04,0.0
13 S-IVB,-2.75,-27.86,0.0,Apollo 12,S-P,20.24,
14 S-IVB,-8.09,-26.02,0.0,Apollo 12,P,90.8,0.173205080756886
14 LM,-3.42,-19.67,0.0,Apollo 12,P,46.8,2.82901631902917
14 LM,-3.42,-19.67,0.0,Apollo 14,P,44.5,0.0
15 S-IVB,-1.51,-11.81,0.0,Apollo 12,P,97.0,0.519615242270666
15 S-IVB,-1.51,-11.81,0.0,Apollo 14,P,79.7,0.115470053837927
15 LM,26.36,0.25,0.0,Apollo 15,P,64.5,3.17542648054294
16 S-IVB,1.3,-23.8,0.0,Apollo 12,P,29.4,2.82842712474619
16 S-IVB,1.3,-23.8,0.0,Apollo 14,P,45.5,2.82842712474619
16 S-IVB,1.3,-23.8,0.0,Apollo 15,P,148.9,2.82842712474619
17 S-IVB,-4.21,-12.31,0.0,Apollo 12,P,98.0,0.173205080756886
17 S-IVB,-4.21,-12.31,0.0,Apollo 14,P,74.5,0.115470053837927
17 S-IVB,-4.21,-12.31,0.0,Apollo 15,P,196.5,1.8475208614068
17 S-IVB,-4.21,-12.31,0.0,Apollo 16,P,164.3,0.665832811847943
M04,74.1,2.6,0.0,Apollo 12,P,318.0,0.0
M04,74.1,2.6,0.0,Apollo 14,P,315.0,0.0
M04,74.1,2.6,0.0,Apollo 15,P,215.0,
M04,74.1,2.6,0.0,Apollo 12,S,542.0,
M04,74.1,2.6,0.0,Apollo 15,S,350.0,
M04,74.1,2.6,0.0,Apollo 12,S-P,224.0,
M04,74.1,2.6,0.0,Apollo 15,S-P,135.0,
M05,1.5,-17.1,0.0,Apollo 12,P,85.2,0.164316767251548
M05,1.5,-17.1,0.0,Apollo 14,P,72.3,0.167332005306817
M05,1.5,-17.1,0.0,Apollo 15,P,174.1,0.409878030638388
M05,1.5,-17.1,0.0,Apollo 16,P,180.6,0.350713558334998
M05,1.5,-17.1,0.0,Apollo 12,S,120.8,2.68700576850888
M05,1.5,-17.1,0.0,Apollo 14,S,97.0,27.0241188570506
M05,1.5,-17.1,0.0,Apollo 15,S,277.25,1.43614066163451
M05,1.5,-17.1,0.0,Apollo 16,S,280.0,12.7017059221718
M05,1.5,-17.1,0.0,Apollo 14,S-P,25.05,0.494974746830585
M05,1.5,-17.1,0.0,Apollo 15,S-P,105.9,
M05,1.5,-17.1,0.0,Apollo 16,S-P,99.7,
M06,32.8,137.6,0.0,Apollo 12,P,474.0,0.535723809439159
M06,32.8,137.6,0.0,Apollo 14,P,483.8,0.476445169982856
M06,32.8,137.6,0.0,Apollo 15,P,418.2,5.66506840205834
M06,32.8,137.6,0.0,Apollo 16,P,445.8,6.72919014443789
M06,32.8,137.6,0.0,Apollo 14,S,985.0,7.07106781186548
M06,32.8,137.6,0.0,Apollo 15,S,735.0,7.07106781186548
M06,32.8,137.6,0.0,Apollo 16,S,890.0,
M06,32.8,137.6,0.0,Apollo 14,S-P,496.1,
M06,32.8,137.6,0.0,Apollo 15,S-P,310.3,
M07,24.0,10.1,0.0,Apollo 12,P,196.1,1.28335497817244
M07,24.0,10.1,0.0,Apollo 14,P,176.1,1.41067359796659
M07,24.0,10.1,0.0,Apollo 15,P,52.6,0.66558245169175
M07,24.0,10.1,0.0,Apollo 16,P,192.0,3.75
M07,24.0,10.1,0.0,Apollo 12,S,345.25,30.1675874629267
M07,24.0,10.1,0.0,Apollo 14,S,280.0,1.73205080756888
M07,24.0,10.1,0.0,Apollo 15,S,90.0,5.83523778435806
M07,24.0,10.1,0.0,Apollo 16,S,320.0,0.0
M07,24.0,10.1,0.0,Apollo 12,S-P,91.6,
M07,24.0,10.1,0.0,Apollo 14,S-P,103.6,
M07,24.0,10.1,0.0,Apollo 15,S-P,33.25,5.44472221513642
M07,24.0,10.1,0.0,Apollo 16,S-P,128.0,
M08,15.8,22.9,0.0,Apollo 14,P,210.0,0.0
M08,15.8,22.9,0.0,Apollo 15,P,132.0,0.0
M08,15.8,22.9,0.0,Apollo 16,P,145.0,0.0
M08,15.8,22.9,0.0,Apollo 14,S,344.0,0.0
