Event Name,Lat,Lon,Depth,Station,Phase,mean arrival time,Weight
A01,-16.6,-39.8,920,Apollo 12,S,226,0.1
A01,-16.6,-39.8,920,Apollo 14,S,235.7,0.5
A01,-16.6,-39.8,920,Apollo 15,S,338.9,0.1
A01,-16.6,-39.8,920,Apollo 16,S,314.6,0.1
A03,,,,Apollo 12,S,255.4,0.1
A05,20.4,-41,703,Apollo 12,S,235.1,0.5
A06,42.8,55,853,Apollo 12,S,418.4,0.1
A06,42.8,55,853,Apollo 14,S,298,0.1
A06,42.8,55,853,Apollo 15,S,371.3,0.5
A07,24.6,53.8,875,Apollo 12,S,410.6,0.1
A07,24.6,53.8,875,Apollo 14,S,409.3,0.5
A07,24.6,53.8,875,Apollo 15,S,366.8,0.5
A07,24.6,53.8,875,Apollo 16,S,360.9,0.5
A08,-36,-36.4,933,Apollo 12,S,328.8,0.1
A09,-7.7,-16.5,995,Apollo 12,S,244.1,0.1
A10,-47.6,-23.5,933,Apollo 12,S,289,0.1
A10,-47.6,-23.5,933,Apollo 14,S,297.2,0.1
A13,,,,Apollo 12,S,260.5,0.5
A14,-24.7,-36.6,933,Apollo 12,S,268.7,0.1
A15,-3.8,0.5,817,Apollo 12,S,237.3,0.5
A16,8.6,4.3,1153,Apollo 12,S,271.4,0.5
A16,8.6,4.3,1153,Apollo 14,S,253.2,0.5
A17,25.5,-22,814,Apollo 12,S,238.5,0.5
A17,25.5,-22,814,Apollo 14,S,224.4,0.1
A17,25.5,-22,814,Apollo 15,S,297.3,0.5
A18,22.9,32.1,915,Apollo 12,S,357.8,0.5
A18,22.9,32.1,915,Apollo 14,S,337.1,0.1
A18,22.9,32.1,915,Apollo 15,S,270,0.1
A18,22.9,32.1,915,Apollo 16,S,281.5,0.1
A20,24.2,-34.6,969,Apollo 12,S,258,0.1
A20,24.2,-34.6,969,Apollo 14,S,328.6,0.1
A21,-13,-38.6,969,Apollo 12,S,278.4,0.5
A22,,,,Apollo 12,S,385.8,0.5
A22,,,,Apollo 14,S,244.1,0.1
A22,,,,Apollo 15,S,281.2,0.5
A25,35.9,65.9,961,Apollo 12,S,440.4,0.5
A25,35.9,65.9,961,Apollo 14,S,417.5,0.1
A25,35.9,65.9,961,Apollo 15,S,335.4,0.1
A25,35.9,65.9,961,Apollo 16,S,362.1,0.1
A26,15.5,7.6,1132,Apollo 12,S,278.2,0.1
A26,15.5,7.6,1132,Apollo 14,S,291.9,0.5
A27,22.2,19.8,1047,Apollo 12,S,275.2,0.5
A30,11.9,-34.9,918,Apollo 12,S,225.3,0.5
A34,7.7,-7.7,993,Apollo 12,S,251.2,0.5
A35,,,,Apollo 12,S,249,0.1
A40,-1.4,-11.8,898,Apollo 12,S,229.7,0.1
A40,-1.4,-11.8,898,Apollo 14,S,247.4,0.1
A41,17.9,-33,801,Apollo 12,S,226.3,0.5
A42,24.4,-54.8,925,Apollo 12,S,309.8,0.1
A44,61.6,52.7,930,Apollo 12,S,429,0.5
A51,10.6,33.2,1179,Apollo 12,S,290.4,0.1
A70,32.4,50.2,983,Apollo 12,S,356.8,0.1
A82,24.8,30.4,871,Apollo 12,S,280.2,0.5
A86,,,,Apollo 12,S,346.5,0.1
A97,0.8,17,960,Apollo 12,S,234.8,0.5
A99,,,,Apollo 12,S,241.2,0.1
A201,,,,Apollo 12,S,289.7,0.5
A203,,,,Apollo 12,S,323,0.1
A224,6.8,44.5,1065,Apollo 12,S,328.9,0.5
A224,6.8,44.5,1065,Apollo 14,S,325,0.5
A241,,,,Apollo 12,S,383.5,0.1
A257,,,,Apollo 12,S,258.5,0.1
